concept_code,target_concept_code,concept_tier,target_tier,n11,n10,n01,n00,support_both,odds_ratio,log_odds_ratio,phi,p_target_given_code,p_target_given_no_code,n_code_before_target_final,n_target_before_code_final
30183-states_specify-50,30103-conditionsrisks-15,2,2,0,2,2,721,0.0,57.72,4.05560373390567,-0.0027662517289073307,0.0,0.0027662517289073307,2,2
30183-states_specify-50,30103-conditionsrisks-16,2,2,0,2,13,710,0.0,10.525925925925925,2.353841349658671,-0.007106856208101712,0.0,0.017980636237897647,2,13
30183-states_specify-50,30103-conditionsrisks-17,2,2,0,2,26,697,0.0,5.264150943396227,1.6609198682692439,-0.010143642515323101,0.0,0.035961272475795295,2,26
30183-states_specify-50,30103-conditionsrisks-19,2,2,0,2,24,699,0.0,5.710204081632653,1.7422547641207542,-0.00973178399986031,0.0,0.03319502074688797,2,24
30183-states_specify-50,30103-conditionsrisks-2,2,2,0,2,51,672,0.0,2.6116504854368934,0.9599823913722034,-0.014467749778087671,0.0,0.07053941908713693,2,51
30183-states_specify-50,30103-conditionsrisks-20,2,2,1,1,317,406,0.001379310344827586,1.2803149606299213,0.247106110655119,0.00650571592296373,0.5,0.4384508990318119,1,317
30183-states_specify-50,30103-conditionsrisks-22,2,2,0,2,10,713,0.0,13.59047619047619,2.609369267319313,-0.006220034997436372,0.0,0.013831258644536652,2,10
30183-states_specify-50,30103-conditionsrisks-23,2,2,0,2,1,722,0.0,96.33333333333333,4.567814399444322,-0.0019546840360557586,0.0,0.0013831258644536654,2,1
30183-states_specify-50,30103-conditionsrisks-3,2,2,0,2,108,615,0.0,1.1345622119815668,0.1262468602098936,-0.022004684440200237,0.0,0.14937759336099585,2,108
30183-states_specify-50,30103-conditionsrisks-4,2,2,0,2,130,593,0.0,0.9095785440613027,-0.09477392514712575,-0.024584367676370684,0.0,0.1798063623789765,2,130
30183-states_specify-50,30103-conditionsrisks-5,2,2,0,2,17,706,0.0,8.074285714285715,2.0886844087610132,-0.008149926292639614,0.0,0.02351313969571231,2,17
30183-states_specify-50,30103-conditionsrisks-6,2,2,0,2,1,722,0.0,96.33333333333333,4.567814399444322,-0.0019546840360557586,0.0,0.0013831258644536654,2,1
30183-states_specify-50,30103-conditionsrisks-7,2,2,0,2,4,719,0.0,31.977777777777778,3.465041217117048,-0.003917492849989859,0.0,0.005532503457814661,2,4
30183-states_specify-50,30103-conditionsrisks-8,2,2,0,2,15,708,0.0,9.141935483870968,2.212872122771434,-0.007644732692165365,0.0,0.02074688796680498,2,15
30183-states_specify-50,30103-conditionsrisks-9,2,2,0,2,46,677,0.0,2.913978494623656,1.069519327726445,-0.013689572240011293,0.0,0.0636237897648686,2,46
30183-states_specify-50,30103-conditionsrisks-999,2,2,0,2,16,707,0.0,8.575757575757576,2.1489393361767575,-0.007901012027669518,0.0,0.022130013831258646,2,16
30183-states_specify-50,30138-COVID_Why-1,2,2,1,1,96,628,0.0013774104683195593,6.512953367875648,1.8737930196853618,0.056599964853669346,0.5,0.13259668508287292,1,96
30183-states_specify-50,30138-COVID_Why-2,2,2,0,2,66,658,0.0,1.980451127819549,0.683324661087427,-0.01662056238286334,0.0,0.09116022099447514,2,66
30183-states_specify-50,30138-COVID_Why-3,2,2,0,2,36,688,0.0,3.7726027397260276,1.3277651451461634,-0.01200528348735749,0.0,0.049723756906077346,2,36
30183-states_specify-50,30138-COVID_Why-4,2,2,0,2,24,700,0.0,5.718367346938775,1.74368333579228,-0.009718131682188694,0.0,0.03314917127071823,2,24
